dataset,redundancy,n_trials,ap_adv,ci_lo,ci_hi,wilcoxon_p,n_edges_at_peak_prec,holm_p,significant,ap_adv_closure,ci_lo_closure,ci_hi_closure,holm_p_closure,significant_closure
synthetic,0.0,24,0.0,0.0,0.0,1.0,3.5833333333333335,1.0,False,0.0,0.0,0.0,1.0,False
wordnet:vehicle.n.01:2,0.0,24,0.0,0.0,0.0,1.0,21.833333333333332,1.0,False,0.0,0.0,0.0,1.0,False
sdag:5:3:0.0:0,0.0,24,0.0,0.0,0.0,1.0,53.375,1.0,False,0.0007722971314020945,0.0003664565639075988,0.0012376772475805719,0.04687474239907453,True
wikidata:Q42889:3,0.03592814371257485,24,0.006308147262094631,0.0018623737373737379,0.011672979797979793,0.027707849358079868,27.0,0.11083139743231947,False,0.006308147262094631,0.0019065656565656574,0.011865538609782027,0.0831235480742396,False
sdag:5:3:0.15:0,0.08450704225352113,24,0.034898436441253816,0.023724604953022217,0.045896655506512736,0.0001318338889828333,1.0833333333333333,0.0006591694449141665,True,0.03752786794102511,0.027373307702243273,0.047654638329838156,0.00029784889537281796,True
sdag:5:3:0.3:0,0.1643192488262911,24,0.063519326619792,0.04838853393610508,0.07924306900311953,4.0099648164691383e-05,1.4583333333333333,0.0002405978889881483,True,0.06670840028118051,0.05118568495044282,0.08330985394393685,0.0002405978889881483,True
sdag:5:3:0.5:0,0.28169014084507044,24,0.07888290707547736,0.06398010913573327,0.09405548619016013,1.1920928955078125e-07,2.3333333333333335,8.344650268554688e-07,True,0.08464423284135832,0.07027181943976246,0.09913301718307692,8.344650268554688e-07,True
